speed,mileage,lastMaintenanceDaysAgo,previous_delay,congestion,occupancyPercentage,delay_minutes,maintenance_status
114,97980,199,46,2,52,27,Critical
90,93597,138,36,1,61,16,Minor Issue
77,12881,115,30,2,84,26,Healthy
103,39863,57,10,3,66,9,Healthy
77,15622,66,21,1,54,10,Healthy
89,11378,90,17,9,51,36,Healthy
69,93168,50,34,5,74,35,Healthy
118,81186,14,5,8,73,21,Healthy
90,55201,16,2,5,95,16,Healthy
102,69251,182,4,8,70,29,Critical
91,82572,171,8,7,99,30,Minor Issue
77,49255,42,27,4,78,25,Healthy
118,73212,110,18,7,91,28,Critical
69,60210,22,27,6,33,34,Healthy
90,32499,68,26,3,37,15,Healthy
44,61628,19,12,9,74,37,Healthy
68,71360,66,37,9,75,51,Healthy
43,14603,167,42,5,68,40,Healthy
49,95473,73,52,8,79,62,Minor Issue
95,22632,147,20,7,72,32,Minor Issue
56,40607,144,26,9,90,57,Minor Issue
113,75756,54,45,7,25,36,Minor Issue
56,56994,153,5,4,89,26,Minor Issue
108,73382,112,37,4,27,29,Critical
73,80354,18,48,8,34,60,Healthy
45,66344,151,10,6,45,33,Minor Issue
92,63775,117,46,9,58,53,Healthy
105,17349,85,40,7,22,33,Healthy
116,81154,139,52,7,76,50,Minor Issue
82,37464,39,16,4,29,8,Healthy
114,52624,105,55,3,22,37,Minor Issue
62,47344,68,38,8,65,51,Healthy
94,93791,25,6,7,41,19,Healthy
119,34299,191,29,4,86,25,Minor Issue
114,57975,158,20,4,84,17,Critical
55,11462,173,0,1,38,1,Healthy
47,91441,123,24,7,81,37,Critical
43,91788,121,31,1,76,25,Minor Issue
43,50581,61,58,4,95,55,Healthy
95,81289,100,56,3,32,41,Minor Issue
64,24175,51,7,3,35,14,Healthy
106,16191,98,4,1,35,0,Healthy
106,93434,137,29,4,71,30,Minor Issue
66,94518,2,50,1,60,33,Healthy
71,90158,5,7,8,67,32,Healthy
89,76537,190,48,1,58,24,Critical
100,57645,197,18,6,32,18,Critical
90,33283,180,43,7,23,44,Minor Issue
58,96971,86,58,2,62,44,Minor Issue
60,69123,133,54,4,65,43,Minor Issue
44,40024,187,29,3,66,35,Minor Issue
81,59630,68,14,9,72,50,Minor Issue
100,40734,9,35,7,44,48,Healthy
61,10515,93,54,2,60,37,Healthy
60,76727,150,43,6,22,40,Minor Issue
109,56216,155,26,9,96,49,Minor Issue
40,81833,138,12,3,32,20,Critical
44,68755,125,13,6,37,22,Minor Issue
51,37856,61,36,3,56,31,Healthy
85,83870,51,53,3,62,43,Minor Issue
73,34162,10,47,4,53,35,Healthy
88,16008,134,29,9,74,43,Healthy
117,17987,62,38,8,71,43,Healthy
84,72532,113,46,1,55,26,Healthy
66,13332,133,12,1,73,3,Minor Issue
112,76323,122,57,7,78,58,Critical
65,48990,198,15,3,71,16,Critical
86,19873,191,43,7,38,46,Minor Issue
95,92542,123,6,9,31,29,Critical
102,95761,184,47,3,30,26,Critical
87,46444,187,54,3,67,32,Minor Issue
100,45340,63,54,2,98,39,Healthy
65,15033,111,26,1,35,13,Healthy
75,83324,89,44,9,90,61,Minor Issue
40,25689,187,54,6,66,60,Minor Issue
47,97134,51,34,6,86,35,Minor Issue
91,10066,178,14,8,50,31,Healthy
118,55246,132,27,5,95,36,Minor Issue
86,17533,104,34,9,27,53,Healthy
95,90639,123,6,5,80,10,Critical
53,80152,48,49,2,63,43,Minor Issue
67,69658,32,45,6,69,43,Healthy
117,48498,120,49,9,54,58,Healthy
41,21772,179,50,3,95,43,Minor Issue
65,99385,180,45,4,80,46,Critical
53,59036,99,19,8,74,39,Healthy
98,68531,74,31,6,85,31,Healthy
95,22940,34,37,7,33,37,Healthy
46,26932,164,39,7,23,48,Healthy
42,66827,70,31,4,36,29,Healthy
62,71431,171,25,6,88,33,Minor Issue
57,34648,110,57,9,43,57,Healthy
77,42966,16,38,3,68,28,Healthy
54,37777,59,19,8,74,37,Healthy
103,42567,181,17,7,90,36,Minor Issue
67,27174,19,49,4,42,38,Healthy
113,52598,95,14,3,31,9,Healthy
78,69199,113,51,7,30,49,Minor Issue
96,23798,41,21,9,94,46,Healthy
56,75364,81,50,3,48,42,Minor Issue
83,27558,175,21,9,81,41,Healthy
64,71084,103,52,8,72,58,Minor Issue
56,54237,54,20,3,67,26,Healthy
52,75497,183,1,8,85,28,Minor Issue
64,10178,95,39,4,67,34,Healthy
107,96006,147,52,6,78,52,Critical
49,27118,62,42,2,90,33,Healthy
106,32616,99,17,8,76,36,Healthy
57,10798,93,22,9,95,40,Healthy
73,17601,187,12,7,22,29,Minor Issue
47,35363,65,40,8,51,51,Healthy
79,12795,68,8,7,27,26,Healthy
81,55264,28,48,4,49,45,Healthy
80,82833,18,6,1,34,0,Healthy
45,13084,26,40,3,93,31,Healthy
91,86646,104,53,7,74,52,Minor Issue
65,10731,147,0,7,57,29,Healthy
103,11129,55,1,3,34,5,Healthy
98,38022,119,3,1,49,0,Healthy
95,11605,124,13,9,65,35,Healthy
98,87506,185,31,6,83,40,Critical
109,54130,134,35,7,45,38,Minor Issue
72,39265,129,1,1,97,5,Healthy
92,42330,8,39,1,86,22,Healthy
61,78469,51,49,4,55,39,Minor Issue
60,25187,85,50,7,97,59,Healthy
109,35791,25,13,8,50,32,Healthy
109,80610,175,19,9,97,40,Critical
43,49867,183,24,1,59,17,Minor Issue
114,10893,192,41,4,93,40,Minor Issue
101,29773,83,48,4,92,39,Healthy
101,14239,93,7,3,65,12,Healthy
63,30863,117,27,7,61,43,Healthy
94,61415,138,45,1,37,18,Minor Issue
48,78968,56,20,9,55,44,Healthy
42,70430,12,22,8,95,33,Healthy
70,11515,161,31,2,69,24,Healthy
79,24605,120,7,2,80,14,Healthy
75,66240,71,30,8,59,46,Healthy
63,15586,17,36,1,22,25,Healthy
45,41186,189,15,7,26,33,Minor Issue
105,36928,122,39,9,50,46,Healthy
114,93087,124,41,3,84,24,Critical
43,97029,10,26,7,83,44,Healthy
118,30711,31,39,6,96,44,Healthy
45,64962,60,40,7,22,37,Minor Issue
90,30039,70,17,7,54,33,Healthy
101,46561,17,34,1,34,17,Healthy
96,85483,50,48,3,40,31,Minor Issue
105,91395,37,51,1,81,33,Minor Issue
118,98658,190,14,5,47,17,Critical
114,11577,118,52,3,23,30,Minor Issue
47,38350,157,26,1,32,11,Minor Issue
65,43798,160,16,2,98,21,Minor Issue
90,91417,80,39,5,70,32,Critical
84,20785,11,1,3,67,5,Healthy
83,82227,134,48,6,58,49,Minor Issue
44,71957,123,49,9,86,64,Minor Issue
109,75431,35,30,6,77,44,Healthy
65,27297,33,36,2,21,27,Healthy
107,81894,18,40,2,44,28,Healthy
58,73772,165,40,8,30,53,Critical
59,29581,13,33,8,20,42,Healthy
51,65192,90,33,6,67,39,Healthy
86,11462,110,50,7,67,46,Healthy
40,74173,192,54,1,29,27,Critical
53,25511,1,58,9,49,71,Healthy
103,86106,63,2,5,54,10,Minor Issue
77,58665,34,16,9,38,41,Healthy
76,54414,103,13,2,72,7,Healthy
50,91010,10,13,8,53,35,Minor Issue
116,82573,128,45,7,51,51,Critical
42,23386,7,37,4,95,42,Healthy
72,64460,56,34,3,25,27,Healthy
45,16221,80,0,4,32,9,Healthy
89,33474,165,47,4,94,38,Minor Issue
49,31045,157,28,8,83,47,Minor Issue
44,14922,12,3,4,26,8,Healthy
62,32706,145,32,5,64,36,Healthy
49,52771,48,16,2,64,23,Healthy
83,62335,26,27,4,84,23,Healthy
41,62949,112,49,7,38,56,Healthy
52,80714,122,25,3,66,31,Critical
79,25240,12,7,1,65,4,Healthy
41,12716,149,33,8,48,48,Healthy
104,26574,42,58,8,80,58,Healthy
102,93255,61,17,6,84,27,Healthy
112,83717,58,30,7,42,39,Minor Issue
56,54066,182,58,2,70,46,Minor Issue
48,71826,34,26,5,82,38,Healthy
114,30213,7,15,7,41,29,Healthy
54,81916,109,57,9,90,70,Critical
63,76151,35,9,1,52,1,Healthy
77,60906,15,39,3,63,37,Healthy
74,10463,193,11,6,26,18,Healthy
88,41973,25,21,7,21,29,Healthy
108,84694,59,15,6,36,27,Critical
101,30651,79,11,1,84,1,Healthy
99,78694,86,10,4,77,20,Healthy
89,30008,134,19,6,49,22,Healthy
117,80474,180,50,8,45,53,Minor Issue
114,48185,88,0,4,54,14,Healthy
48,97924,149,26,7,82,39,Critical
73,84417,71,2,3,94,9,Minor Issue
115,81139,121,11,8,90,32,Minor Issue
74,44980,93,29,1,47,13,Healthy
40,32504,96,8,4,44,8,Healthy
79,64970,32,52,8,80,59,Healthy
103,26766,53,53,4,50,42,Healthy
61,21695,59,36,2,73,28,Healthy
99,27796,69,0,2,86,6,Healthy
103,52543,190,41,4,70,40,Minor Issue
111,24559,132,48,4,77,37,Healthy
50,43139,86,3,2,53,7,Healthy
53,18802,18,14,7,78,35,Healthy
99,83843,81,50,6,40,43,Healthy
69,50205,114,26,3,75,25,Healthy
74,44159,184,7,8,56,38,Minor Issue
76,21516,24,59,8,83,64,Healthy
44,60492,66,59,1,38,36,Healthy
117,39086,141,22,3,97,28,Healthy
65,40480,62,14,5,93,34,Healthy
101,62091,54,26,2,72,22,Healthy
43,57766,143,30,5,90,37,Minor Issue
81,48737,197,38,3,82,47,Critical
57,19265,131,46,9,81,53,Healthy
79,80990,37,7,1,91,0,Minor Issue
111,25386,37,29,4,96,31,Healthy
78,47425,131,57,6,38,49,Critical
53,53254,191,54,9,94,55,Minor Issue
71,99863,35,41,3,21,29,Minor Issue
90,63634,180,17,3,25,14,Critical
77,96717,124,3,5,48,15,Minor Issue
62,57662,156,46,7,60,53,Critical
102,96988,18,42,5,70,37,Healthy
54,97527,122,21,8,24,36,Minor Issue
64,85452,164,2,5,60,24,Critical
56,20143,161,14,7,81,40,Healthy
105,25581,192,34,6,49,34,Minor Issue
117,77443,154,46,2,81,33,Minor Issue
92,39424,48,37,3,46,32,Healthy
90,98844,168,32,4,69,26,Minor Issue
78,51984,17,13,5,71,26,Healthy
90,51505,168,47,9,68,58,Minor Issue
109,72699,135,0,6,81,21,Minor Issue
45,36957,57,52,1,79,33,Healthy
106,35464,8,48,3,99,38,Healthy
46,33649,128,25,7,73,38,Minor Issue
90,52065,117,7,8,24,27,Healthy
111,44758,56,49,7,28,41,Healthy
81,15596,126,15,5,53,20,Healthy
103,26374,159,37,8,55,46,Minor Issue
54,13775,59,9,9,39,30,Healthy
68,37388,58,41,7,82,42,Healthy
72,31029,140,36,9,86,59,Minor Issue
66,93981,176,25,1,49,13,Critical
75,63639,159,27,9,88,42,Critical
68,24645,108,11,3,89,13,Healthy
77,41105,191,19,6,22,26,Minor Issue
96,23668,74,48,8,68,61,Healthy
66,25960,167,13,3,61,17,Healthy
94,21357,148,45,4,43,38,Healthy
72,74604,101,34,7,63,42,Minor Issue
107,61796,48,28,7,20,33,Minor Issue
105,25804,71,11,4,73,16,Healthy
49,24626,116,51,9,71,67,Healthy
44,38132,182,17,3,55,16,Critical
113,17951,122,43,8,98,52,Healthy
77,16449,78,1,8,57,27,Healthy
52,29065,199,1,4,63,17,Minor Issue
70,19130,29,58,7,66,52,Healthy
86,99360,93,16,4,48,17,Minor Issue
91,72287,73,9,1,70,9,Healthy
95,61702,100,17,1,60,11,Minor Issue
54,46993,176,21,1,83,27,Minor Issue
68,41875,74,18,2,67,15,Healthy
47,16054,184,57,6,96,50,Minor Issue
44,58517,95,52,5,41,46,Healthy
68,86368,17,0,2,36,0,Minor Issue
86,39670,137,23,8,24,39,Healthy
107,59112,97,35,9,80,49,Minor Issue
115,98388,162,24,7,25,31,Critical
84,99156,173,35,9,72,54,Critical
41,38307,9,30,4,36,36,Healthy
66,77087,135,30,7,78,30,Minor Issue
75,57922,144,1,5,58,6,Critical
75,73080,19,18,5,73,24,Healthy
65,89335,134,52,3,67,40,Critical
82,36312,114,11,9,56,36,Healthy
66,76985,139,9,5,67,23,Critical
108,67608,125,30,6,87,37,Minor Issue
59,99962,61,44,3,97,32,Minor Issue
50,50277,42,21,7,96,37,Healthy
113,41551,13,22,9,46,36,Healthy
77,99813,140,51,9,46,58,Minor Issue
45,66597,85,22,5,91,32,Minor Issue
111,55212,20,14,7,82,31,Healthy
62,19637,50,25,3,71,20,Healthy
86,53258,164,2,6,66,17,Minor Issue
85,45693,92,22,8,40,39,Healthy
51,19824,88,19,8,76,42,Healthy
52,36950,69,44,2,94,35,Healthy
101,33488,37,39,6,61,38,Healthy
99,10215,140,56,7,67,52,Healthy
82,21523,99,38,7,46,42,Healthy
115,85900,125,55,3,91,38,Critical
107,78689,168,7,9,52,28,Critical
44,33834,54,17,2,95,23,Healthy
76,44474,130,40,3,54,33,Healthy
111,53066,178,5,2,35,0,Critical
70,20400,41,26,9,55,54,Healthy
48,20345,45,35,4,85,35,Healthy
90,43896,103,14,2,95,18,Healthy
68,95430,106,36,3,75,27,Minor Issue
117,38899,137,57,4,36,47,Healthy
79,38229,190,4,6,39,22,Critical
80,15583,128,38,5,27,36,Healthy
50,14897,86,8,3,37,13,Healthy
62,81537,47,6,8,37,19,Healthy
40,14567,5,40,8,37,60,Healthy
85,84807,1,19,7,21,33,Healthy
60,87239,44,9,3,95,17,Healthy
75,23329,150,25,1,91,22,Minor Issue
93,81792,38,3,5,70,10,Healthy
96,10228,19,37,1,29,9,Healthy
40,92214,159,23,6,94,40,Critical
102,47052,115,13,7,33,21,Minor Issue
93,67769,195,40,5,45,34,Critical
94,56032,87,0,4,66,10,Healthy
79,98721,170,16,2,49,7,Critical
54,43686,123,44,5,75,45,Healthy
60,86981,82,23,9,61,39,Minor Issue
86,73261,154,26,4,23,28,Critical
112,12809,141,6,2,30,1,Minor Issue
92,51785,58,8,6,43,23,Healthy
48,46547,146,42,8,86,48,Healthy
113,52818,67,34,2,56,24,Healthy
91,81927,122,57,9,21,66,Minor Issue
96,75681,87,11,7,31,25,Minor Issue
65,89465,131,20,2,40,19,Minor Issue
80,99862,55,2,5,88,18,Minor Issue
74,47333,89,14,5,90,29,Minor Issue
102,26576,58,20,7,83,42,Healthy
64,49405,63,9,5,87,36,Minor Issue
114,83779,91,32,6,62,36,Minor Issue
77,41601,52,45,9,73,53,Healthy
41,77946,126,58,3,81,52,Minor Issue
46,77356,24,51,3,92,39,Healthy
73,62116,72,5,8,31,23,Minor Issue
56,72894,9,1,6,20,15,Healthy
82,44635,110,28,3,91,38,Minor Issue
98,17465,165,54,2,52,41,Healthy
90,66754,94,39,2,83,35,Healthy
93,95119,117,32,2,87,29,Minor Issue
63,48871,83,3,5,33,11,Healthy
64,72874,181,58,5,33,50,Critical
110,87733,80,3,1,28,6,Minor Issue
91,39511,152,28,2,92,26,Minor Issue
109,90960,149,36,2,45,27,Critical
72,58821,100,59,4,68,40,Minor Issue
88,75776,40,59,7,36,58,Minor Issue
68,80167,103,19,3,87,18,Minor Issue
102,85135,62,40,5,79,38,Minor Issue
61,54462,198,22,9,22,47,Minor Issue
65,71382,69,44,5,44,43,Healthy
67,42574,142,17,9,40,43,Minor Issue
88,51910,109,48,1,31,25,Minor Issue
110,83531,170,24,9,73,32,Critical
88,35186,178,0,5,20,6,Minor Issue
59,32813,189,53,8,20,59,Minor Issue
102,88812,4,14,5,64,23,Healthy
100,95525,72,33,6,65,45,Critical
88,88282,17,47,8,67,54,Minor Issue
110,28557,114,19,2,26,5,Healthy
40,38060,85,53,3,29,41,Minor Issue
52,68866,57,36,9,34,56,Healthy
90,82104,107,26,5,59,21,Minor Issue
95,94577,48,21,5,30,25,Minor Issue
101,16080,172,50,9,75,52,Healthy
71,23854,173,4,3,65,13,Minor Issue
69,77695,117,33,4,64,36,Minor Issue
68,37025,161,38,7,32,46,Healthy
88,62982,31,2,2,46,10,Healthy
84,51081,112,16,8,69,37,Minor Issue
69,14368,47,23,5,80,34,Healthy
55,37094,134,23,1,32,17,Minor Issue
79,56040,108,2,3,31,2,Minor Issue
58,76766,72,44,9,48,56,Minor Issue
57,93053,71,6,5,39,7,Minor Issue
40,33991,162,24,8,50,45,Healthy
117,11301,108,55,1,27,13,Healthy
86,38610,53,2,7,43,25,Healthy
105,91463,142,14,7,94,40,Minor Issue
77,44678,16,28,8,58,45,Healthy
90,34466,171,49,3,52,39,Minor Issue
102,90440,116,28,1,61,22,Minor Issue
43,50875,73,9,9,34,33,Healthy
40,36081,74,31,1,87,20,Healthy
47,34354,81,22,6,84,37,Healthy
68,28300,12,38,9,51,48,Healthy
94,74384,128,8,2,30,5,Minor Issue
42,70892,70,36,4,56,38,Minor Issue
71,45525,147,51,2,38,31,Minor Issue
49,36532,41,39,4,70,35,Healthy
113,16464,181,13,2,53,0,Minor Issue
73,26562,157,3,1,90,6,Healthy
94,65514,198,19,3,79,18,Minor Issue
71,84219,59,27,8,72,42,Healthy
89,42634,89,13,5,31,23,Healthy
46,10060,192,43,4,81,53,Healthy
47,19269,24,33,5,85,39,Healthy
104,73143,144,12,6,67,26,Minor Issue
96,33065,180,30,6,59,36,Minor Issue
106,12895,80,32,5,43,36,Healthy
98,90859,134,51,6,69,44,Critical
111,22352,165,38,9,87,47,Healthy
93,59737,132,27,5,62,26,Minor Issue
106,42016,92,24,6,36,17,Healthy
90,71304,166,31,4,74,30,Minor Issue
47,21962,169,8,3,53,10,Minor Issue
73,43302,92,27,6,89,40,Healthy
74,95382,81,57,5,79,40,Minor Issue
117,14011,142,30,4,70,27,Healthy
71,29782,71,16,5,96,28,Healthy
85,77691,179,52,7,92,53,Critical
55,49725,65,22,1,54,21,Healthy
107,19196,52,12,1,53,1,Healthy
76,53459,30,54,1,35,33,Healthy
93,97245,185,9,2,37,3,Critical
53,88863,99,15,9,57,49,Critical
94,42769,158,5,5,62,16,Minor Issue
87,34700,98,47,9,51,59,Healthy
46,90356,42,10,5,26,24,Minor Issue
113,86427,139,57,7,65,59,Minor Issue
46,15269,27,51,6,80,55,Healthy
72,53880,152,2,2,37,0,Critical
62,18320,167,27,3,90,31,Healthy
58,59589,72,40,5,59,42,Minor Issue
58,86276,18,14,4,97,11,Healthy
75,45897,77,59,6,69,47,Healthy
68,68565,45,12,8,24,34,Minor Issue
99,40930,115,41,8,73,57,Minor Issue
41,67233,87,51,3,77,44,Healthy
40,92821,140,55,4,41,51,Critical
86,24380,177,44,1,93,31,Healthy
108,86896,159,16,2,98,15,Critical
59,80934,92,6,9,57,34,Minor Issue
50,65830,22,27,2,68,25,Healthy
41,15529,172,37,6,20,43,Minor Issue
106,92987,92,12,7,97,28,Minor Issue
51,59178,192,59,6,55,63,Critical
59,16937,77,16,8,47,31,Healthy
44,49886,25,14,9,54,49,Healthy
76,59699,108,35,8,79,48,Healthy
77,86396,179,27,5,81,33,Critical
48,35279,135,14,8,65,34,Healthy
92,48106,109,45,9,98,61,Healthy
83,89737,134,52,8,80,57,Minor Issue
63,50544,24,10,2,84,12,Healthy
113,18997,19,55,2,45,36,Healthy
69,95711,83,30,3,54,32,Critical
98,50860,115,3,7,76,18,Minor Issue
53,13225,9,34,9,98,60,Healthy
48,69470,112,33,8,82,57,Critical
79,73656,164,51,9,23,47,Critical
105,61880,102,26,6,98,31,Minor Issue
64,71078,168,9,1,61,14,Critical
112,98646,152,29,4,64,28,Critical
61,86290,48,44,6,58,55,Healthy
43,66633,191,19,6,84,35,Critical
65,36655,69,28,8,41,39,Healthy
97,53601,181,57,1,30,37,Minor Issue
68,13114,182,52,2,56,32,Minor Issue
76,36502,170,28,2,70,21,Minor Issue
114,59768,119,22,6,77,33,Healthy
109,58128,45,56,7,96,60,Healthy
57,30028,125,49,2,26,29,Healthy
81,65565,14,20,5,27,25,Healthy
80,93123,157,47,6,70,46,Critical
77,45333,134,42,4,42,27,Minor Issue
73,13174,135,9,1,28,2,Healthy
56,45398,37,40,3,65,27,Healthy
76,45929,53,11,9,57,32,Healthy
64,14321,18,29,6,32,29,Healthy
115,65421,38,50,2,26,31,Healthy
66,82635,187,32,9,30,48,Minor Issue
96,33760,129,17,4,93,31,Healthy
70,21360,196,13,8,69,31,Minor Issue
45,20313,44,21,7,86,41,Healthy
79,95998,47,20,3,60,15,Minor Issue
51,15801,35,0,8,48,24,Healthy
92,24130,60,48,4,56,37,Healthy
110,24271,90,42,2,75,38,Healthy
49,26075,52,51,5,99,54,Healthy
84,28984,8,59,1,35,33,Healthy
56,98095,107,14,8,63,42,Critical
65,70942,169,35,8,69,52,Critical
101,22861,131,46,3,90,36,Healthy
85,92203,197,53,1,98,39,Critical
103,81376,142,21,4,25,17,Critical
41,71247,96,31,9,37,64,Minor Issue
93,79101,26,57,9,38,66,Healthy
104,30977,111,45,1,70,25,Healthy
90,60617,198,53,7,85,59,Minor Issue
92,67473,123,32,6,22,35,Minor Issue
75,96654,186,57,7,73,59,Critical
65,98177,168,40,7,68,51,Critical
68,82902,51,58,8,47,56,Healthy
60,25630,123,38,8,57,48,Healthy
50,30056,5,22,2,47,28,Healthy
79,17382,77,42,4,51,37,Healthy
50,65739,160,54,4,60,43,Minor Issue
75,91685,1,1,8,55,25,Healthy
98,58639,182,1,3,55,4,Minor Issue
78,69838,11,37,3,85,37,Healthy
93,56041,181,54,2,29,30,Critical
94,10992,8,50,1,89,33,Healthy
63,82394,153,28,8,91,44,Minor Issue
61,77657,168,51,9,98,76,Minor Issue
108,37160,32,45,9,82,59,Healthy
95,55156,28,59,8,41,60,Healthy
72,61375,131,2,5,39,18,Minor Issue
75,96442,128,38,1,52,22,Minor Issue
59,29572,62,6,9,34,40,Healthy
101,14136,27,35,6,26,34,Healthy
112,71868,45,28,7,69,45,Healthy
65,92263,105,54,8,29,55,Critical
105,42167,92,36,5,98,41,Healthy
112,25479,25,48,6,56,45,Healthy
112,41376,189,57,7,78,56,Minor Issue
79,14823,44,35,7,94,38,Healthy
56,80456,174,22,2,82,17,Minor Issue
40,29585,142,44,1,40,37,Healthy
100,27272,136,15,8,98,30,Healthy
82,36619,176,47,5,98,51,Critical
81,85069,142,30,2,56,35,Minor Issue
64,49895,193,33,3,64,33,Minor Issue
78,13720,80,49,6,33,56,Healthy
74,29267,82,0,6,62,23,Healthy
42,25696,135,17,8,52,40,Healthy
83,39968,88,57,5,22,47,Healthy
90,63364,177,39,5,63,37,Minor Issue
51,33345,127,42,7,54,48,Minor Issue
58,61567,55,55,5,44,46,Healthy
83,71607,141,55,9,27,61,Minor Issue
98,29385,184,14,6,81,38,Healthy
88,93658,56,47,7,37,54,Minor Issue
100,76900,15,48,8,47,52,Healthy
56,78244,185,16,5,94,33,Critical
113,75425,58,43,4,31,31,Healthy
96,88518,163,9,8,83,39,Minor Issue
94,92844,88,19,9,21,27,Minor Issue
86,42919,97,5,1,78,15,Healthy
51,67196,144,7,3,56,12,Minor Issue
101,89401,8,44,4,23,30,Healthy
119,10495,173,33,7,60,32,Minor Issue
47,54755,40,31,6,64,42,Healthy
60,77684,182,50,1,53,29,Critical
119,43324,14,53,4,32,42,Healthy
109,88929,187,41,6,26,40,Critical
111,11552,53,3,3,51,2,Healthy
64,61272,127,43,2,42,26,Healthy
51,45853,155,49,2,68,34,Healthy
54,42924,175,38,4,91,35,Minor Issue
98,84462,80,19,1,66,10,Minor Issue
65,33889,115,23,2,56,15,Minor Issue
65,64675,134,23,2,67,26,Minor Issue
86,83591,55,54,4,48,40,Minor Issue
71,80190,44,25,4,56,30,Healthy
49,32634,18,24,1,42,20,Healthy
55,42363,16,35,7,57,36,Healthy
110,73752,12,6,7,63,26,Healthy
56,87004,148,9,1,24,0,Minor Issue
62,66398,45,57,8,71,58,Healthy
65,50718,192,46,7,59,54,Critical
46,92916,187,11,7,30,30,Critical
53,36870,93,0,6,97,23,Healthy
118,47394,22,51,4,21,25,Healthy
46,62057,97,49,8,54,63,Minor Issue
48,89795,47,24,2,64,25,Healthy
87,90409,29,15,7,68,27,Minor Issue
111,23016,45,4,3,54,2,Healthy
98,52137,77,18,3,91,25,Healthy
78,10153,9,3,7,51,25,Healthy
57,17853,24,5,3,87,9,Healthy
98,22379,15,25,5,90,28,Healthy
56,25792,164,48,8,58,66,Minor Issue
53,48367,13,38,4,67,43,Healthy
70,28100,91,55,7,56,56,Healthy
63,73456,172,54,7,79,58,Minor Issue
99,21049,101,38,2,93,18,Healthy
84,10786,71,8,8,23,33,Healthy
42,79904,122,44,9,42,55,Minor Issue
76,40699,76,51,6,33,43,Healthy
82,57691,164,13,5,24,23,Healthy
79,47040,116,47,1,85,29,Healthy
94,67986,61,54,1,43,21,Healthy
78,48762,168,8,9,37,34,Critical
54,33600,126,14,4,46,14,Healthy
43,29810,155,36,1,43,24,Healthy
64,95703,1,49,3,48,39,Minor Issue
52,97347,162,52,6,30,48,Critical
72,67204,68,19,8,37,34,Healthy
55,30085,88,7,2,23,15,Healthy
81,56854,21,31,8,52,51,Healthy
105,84797,161,46,1,97,25,Critical
94,94269,135,20,2,61,12,Critical
81,49779,193,56,8,51,55,Minor Issue
73,66207,3,40,7,70,48,Healthy
69,43980,51,18,5,23,23,Healthy
52,66117,79,28,2,39,31,Minor Issue
52,24141,95,57,9,86,68,Healthy
57,19344,182,30,5,87,33,Healthy
71,25896,123,53,8,81,57,Healthy
78,99353,187,5,4,77,18,Critical
85,39813,6,3,9,66,30,Healthy
68,94431,157,42,7,94,53,Critical
101,75679,17,28,2,99,22,Healthy
101,20681,117,41,3,78,36,Healthy
96,82903,60,2,2,25,0,Minor Issue
55,13228,150,0,5,59,11,Healthy
95,14582,152,43,2,96,31,Healthy
49,88683,125,54,5,42,60,Minor Issue
69,21397,81,14,9,71,46,Healthy
64,48799,85,46,2,23,24,Healthy
44,47011,51,20,9,56,53,Healthy
104,89183,178,45,7,61,47,Minor Issue
88,54264,139,57,7,63,53,Minor Issue
42,52317,184,30,5,61,35,Minor Issue
84,57914,71,6,8,48,28,Healthy
53,94633,170,16,7,38,38,Critical
69,55254,39,55,6,51,53,Critical
107,50096,69,18,2,63,15,Healthy
57,63785,48,38,6,74,51,Healthy
101,62344,125,59,2,99,40,Healthy
76,92643,57,2,1,24,1,Minor Issue
64,78546,21,29,9,65,51,Minor Issue
87,81091,82,34,5,95,39,Minor Issue
104,75603,99,57,4,64,46,Minor Issue
92,38412,148,56,8,40,52,Healthy
118,61658,15,28,5,97,37,Healthy
112,59549,69,49,7,41,44,Minor Issue
54,21549,179,51,3,49,42,Healthy
88,81216,76,53,8,42,56,Minor Issue
107,35739,62,13,8,24,24,Healthy
51,31209,119,34,3,82,42,Healthy
98,97968,37,27,9,78,54,Healthy
76,25116,134,57,8,71,57,Healthy
100,30045,199,29,1,84,23,Critical
82,36327,26,25,8,58,39,Healthy
109,45709,8,6,4,22,5,Healthy
78,53617,4,38,6,61,43,Healthy
95,70139,21,30,9,90,53,Healthy
102,36905,159,4,5,46,15,Minor Issue
85,74148,149,34,7,47,39,Critical
50,82603,25,49,1,73,41,Minor Issue
101,52919,143,46,9,34,59,Minor Issue
116,93521,163,51,6,72,43,Critical
64,93400,177,13,4,91,24,Critical
110,98150,43,35,6,89,32,Minor Issue
91,68446,169,26,5,23,30,Minor Issue
43,62428,37,23,3,36,30,Healthy
98,57894,185,39,7,53,45,Critical
111,91149,42,28,3,25,13,Healthy
59,16447,175,52,2,55,45,Minor Issue
102,15499,92,44,4,58,46,Healthy
93,49041,61,21,7,99,35,Minor Issue
113,41315,142,7,5,85,21,Minor Issue
96,11299,68,14,9,27,37,Healthy
80,14994,53,48,7,34,52,Healthy
42,91163,84,4,9,82,38,Minor Issue
45,17489,34,51,9,99,76,Healthy
44,42355,76,3,2,84,4,Minor Issue
44,83805,97,10,1,78,5,Minor Issue
93,78367,152,17,4,29,17,Minor Issue
86,87355,148,41,4,26,41,Critical
88,97173,197,48,2,93,42,Critical
48,11996,30,29,3,95,25,Healthy
59,54387,88,14,3,31,30,Minor Issue
